MSG,8,111,11111,AC4DFB,111111,2016/02/05,12:13:49.903,2016/02/05,12:13:49.874,,,,,,,,,,,,0
MSG,8,111,11111,AC4DFB,111111,2016/02/05,12:13:59.518,2016/02/05,12:13:59.507,,,,,,,,,,,,0
MSG,3,111,11111,AC4DFB,111111,2016/02/05,12:14:02.288,2016/02/05,12:14:02.261,,19625,,,47.29816,-121.45399,,,,,,0
MSG,5,111,11111,AC4DFB,111111,2016/02/05,12:14:03.255,2016/02/05,12:14:03.243,,19675,,,,,,,0,,0,0
MSG,7,111,11111,AC4DFB,111111,2016/02/05,12:14:04.465,2016/02/05,12:14:04.424,,19700,,,,,,,,,,0
MSG,8,111,11111,AC4DFB,111111,2016/02/05,12:14:04.656,2016/02/05,12:14:04.621,,,,,,,,,,,,0
MSG,3,111,11111,AC4DFB,111111,2016/02/05,12:14:05.308,2016/02/05,12:14:05.276,,19725,,,47.29614,-121.44646,,,,,,0
MSG,4,111,11111,AC4DFB,111111,2016/02/05,12:14:05.397,2016/02/05,12:14:05.343,,,396,111,,,2048,,,,,0
MSG,7,111,11111,AC4DFB,111111,2016/02/05,12:14:05.423,2016/02/05,12:14:05.406,,19750,,,,,,,,,,0
MSG,8,111,11111,AC4DFB,111111,2016/02/05,12:14:10.741,2016/02/05,12:14:10.715,,,,,,,,,,,,0
MSG,5,111,11111,86800A,111111,2016/02/05,12:14:12.311,2016/02/05,12:14:12.288,,30000,,,,,,,0,,0,0
MSG,4,111,11111,86800A,111111,2016/02/05,12:14:12.582,2016/02/05,12:14:12.551,,,476,307,,,0,,,,,0
MSG,8,111,11111,86800A,111111,2016/02/05,12:14:13.020,2016/02/05,12:14:13.008,,,,,,,,,,,,0
MSG,7,111,11111,86800A,111111,2016/02/05,12:14:13.915,2016/02/05,12:14:13.862,,29975,,,,,,,,,,0
MSG,4,111,11111,AC4DFB,111111,2016/02/05,12:14:14.728,2016/02/05,12:14:14.712,,,397,111,,,2048,,,,,0
MSG,7,111,11111,AC4DFB,111111,2016/02/05,12:14:15.228,2016/02/05,12:14:15.173,,20075,,,,,,,,,,0
MSG,5,111,11111,AC4DFB,111111,2016/02/05,12:14:16.263,2016/02/05,12:14:16.221,,20125,,,,,,,0,,0,0
MSG,3,111,11111,AC4DFB,111111,2016/02/05,12:14:16.633,2016/02/05,12:14:16.614,,20125,,,47.28854,-121.41781,,,,,,0
MSG,4,111,11111,AC4DFB,111111,2016/02/05,12:14:16.718,2016/02/05,12:14:16.680,,,398,111,,,1792,,,,,0
MSG,4,111,11111,AC4DFB,111111,2016/02/05,12:14:17.788,2016/02/05,12:14:17.730,,,399,111,,,1664,,,,,0
MSG,7,111,11111,AC4DFB,111111,2016/02/05,12:14:18.372,2016/02/05,12:14:18.319,,20175,,,,,,,,,,0
MSG,3,111,11111,E071CB,111111,2016/02/05,12:14:18.816,2016/02/05,12:14:18.777,,41000,,,47.12411,-120.71249,,,,,,0
MSG,4,111,11111,E071CB,111111,2016/02/05,12:14:20.146,2016/02/05,12:14:20.088,,,436,111,,,64,,,,,0
MSG,3,111,11111,AC4DFB,111111,2016/02/05,12:14:20.423,2016/02/05,12:14:20.414,,20225,,,47.28598,-121.40820,,,,,,0
MSG,7,111,11111,AC4DFB,111111,2016/02/05,12:14:20.968,2016/02/05,12:14:20.940,,20250,,,,,,,,,,0
MSG,8,111,11111,E071CB,111111,2016/02/05,12:14:21.729,2016/02/05,12:14:21.725,,,,,,,,,,,,0
MSG,8,111,11111,E071CB,111111,2016/02/05,12:14:21.957,2016/02/05,12:14:21.923,,,,,,,,,,,,0
MSG,5,111,11111,E071CB,111111,2016/02/05,12:14:22.122,2016/02/05,12:14:22.118,,41000,,,,,,,0,,0,0
MSG,3,111,11111,86800A,111111,2016/02/05,12:14:22.392,2016/02/05,12:14:22.380,,30000,,,47.44487,-121.28652,,,,,,0
MSG,4,111,11111,86800A,111111,2016/02/05,12:14:22.552,2016/02/05,12:14:22.512,,,476,307,,,0,,,,,0
MSG,8,111,11111,E071CB,111111,2016/02/05,12:14:22.981,2016/02/05,12:14:22.970,,,,,,,,,,,,0
MSG,8,111,11111,E071CB,111111,2016/02/05,12:14:23.064,2016/02/05,12:14:23.037,,,,,,,,,,,,0
MSG,8,111,11111,E071CB,111111,2016/02/05,12:14:23.097,2016/02/05,12:14:23.038,,,,,,,,,,,,0
MSG,4,111,11111,E071CB,111111,2016/02/05,12:14:23.176,2016/02/05,12:14:23.167,,,436,111,,,64,,,,,0
MSG,8,111,11111,E071CB,111111,2016/02/05,12:14:23.459,2016/02/05,12:14:23.430,,,,,,,,,,,,0
MSG,7,111,11111,AC4DFB,111111,2016/02/05,12:14:24.426,2016/02/05,12:14:24.412,,20350,,,,,,,,,,0
MSG,3,111,11111,E071CB,111111,2016/02/05,12:14:24.776,2016/02/05,12:14:24.741,,41000,,,47.11972,-120.69601,,,,,,0
MSG,8,111,11111,E071CB,111111,2016/02/05,12:14:26.112,2016/02/05,12:14:26.052,,,,,,,,,,,,0
MSG,8,111,11111,E071CB,111111,2016/02/05,12:14:26.146,2016/02/05,12:14:26.117,,,,,,,,,,,,0
MSG,8,111,11111,E071CB,111111,2016/02/05,12:14:26.367,2016/02/05,12:14:26.314,,,,,,,,,,,,0
MSG,8,111,11111,E071CB,111111,2016/02/05,12:14:26.388,2016/02/05,12:14:26.378,,,,,,,,,,,,0
MSG,8,111,11111,E071CB,111111,2016/02/05,12:14:26.583,2016/02/05,12:14:26.575,,,,,,,,,,,,0
MSG,8,111,11111,E071CB,111111,2016/02/05,12:14:26.613,2016/02/05,12:14:26.576,,,,,,,,,,,,0
MSG,4,111,11111,AC4DFB,111111,2016/02/05,12:14:26.688,2016/02/05,12:14:26.642,,,401,111,,,2176,,,,,0
MSG,5,111,11111,E071CB,111111,2016/02/05,12:14:28.589,2016/02/05,12:14:28.543,,41000,,,,,,,0,,0,0
MSG,8,111,11111,E071CB,111111,2016/02/05,12:14:29.116,2016/02/05,12:14:29.067,,,,,,,,,,,,0
MSG,8,111,11111,A6BBA3,111111,2016/02/05,12:14:29.640,2016/02/05,12:14:29.592,,,,,,,,,,,,
MSG,3,111,11111,E071CB,111111,2016/02/05,12:14:30.606,2016/02/05,12:14:30.574,,41000,,,47.11552,-120.68003,,,,,,0
MSG,7,111,11111,A6BBA3,111111,2016/02/05,12:14:30.641,2016/02/05,12:14:30.638,,11375,,,,,,,,,,0
MSG,8,111,11111,E071CB,111111,2016/02/05,12:14:30.736,2016/02/05,12:14:30.705,,,,,,,,,,,,0
MSG,8,111,11111,E071CB,111111,2016/02/05,12:14:30.757,2016/02/05,12:14:30.706,,,,,,,,,,,,0
MSG,8,111,11111,E071CB,111111,2016/02/05,12:14:30.981,2016/02/05,12:14:30.966,,,,,,,,,,,,0
MSG,8,111,11111,E071CB,111111,2016/02/05,12:14:31.002,2016/02/05,12:14:30.967,,,,,,,,,,,,0
MSG,8,111,11111,E071CB,111111,2016/02/05,12:14:31.220,2016/02/05,12:14:31.165,,,,,,,,,,,,0
MSG,7,111,11111,E071CB,111111,2016/02/05,12:14:31.573,2016/02/05,12:14:31.556,,41000,,,,,,,,,,0
MSG,7,111,11111,E071CB,111111,2016/02/05,12:14:31.663,2016/02/05,12:14:31.623,,41000,,,,,,,,,,0
MSG,8,111,11111,E071CB,111111,2016/02/05,12:14:32.516,2016/02/05,12:14:32.474,,,,,,,,,,,,0
MSG,3,111,11111,E071CB,111111,2016/02/05,12:14:32.536,2016/02/05,12:14:32.475,,41000,,,47.11418,-120.67513,,,,,,0
MSG,5,111,11111,E071CB,111111,2016/02/05,12:14:32.885,2016/02/05,12:14:32.867,,41000,,,,,,,0,,0,0
MSG,7,111,11111,E071CB,111111,2016/02/05,12:14:32.916,2016/02/05,12:14:32.869,,41000,,,,,,,,,,0
MSG,8,111,11111,E071CB,111111,2016/02/05,12:14:32.970,2016/02/05,12:14:32.934,,,,,,,,,,,,0
MSG,7,111,11111,E071CB,111111,2016/02/05,12:14:32.990,2016/02/05,12:14:32.935,,41000,,,,,,,,,,0
MSG,3,111,11111,E071CB,111111,2016/02/05,12:14:33.526,2016/02/05,12:14:33.522,,41000,,,47.11347,-120.67235,,,,,,0
MSG,4,111,11111,E071CB,111111,2016/02/05,12:14:33.716,2016/02/05,12:14:33.656,,,435,111,,,-128,,,,,0
MSG,5,111,11111,E071CB,111111,2016/02/05,12:14:34.111,2016/02/05,12:14:34.112,,41000,,,,,,,0,,0,0
MSG,3,111,11111,E071CB,111111,2016/02/05,12:14:34.377,2016/02/05,12:14:34.374,,41000,,,47.11276,-120.66957,,,,,,0
MSG,8,111,11111,E071CB,111111,2016/02/05,12:14:34.486,2016/02/05,12:14:34.441,,,,,,,,,,,,0
MSG,8,111,11111,E071CB,111111,2016/02/05,12:14:35.224,2016/02/05,12:14:35.163,,,,,,,,,,,,0
MSG,3,111,11111,E071CB,111111,2016/02/05,12:14:35.338,2016/02/05,12:14:35.293,,41000,,,47.11217,-120.66737,,,,,,0
MSG,8,111,11111,86800A,111111,2016/02/05,12:14:35.393,2016/02/05,12:14:35.358,,,,,,,,,,,,0
